MarketSymbol,Amount,Price,StopPrice,IsBuy,IsMargin,OrderId,ClientOrderId,ShouldRoundAmount,OrderType,IsPostOnly
DOGE-EUR,38.467950,0.0913,0,False,False,,,True,Limit,,664
DOGE-EUR,38.467950,0.0917,0,False,False,,,True,Limit,,665
DOGE-EUR,38.467950,0.0921,0,False,False,,,True,Limit,,666
DOGE-EUR,38.467950,0.0926,0,False,False,,,True,Limit,,667
DOGE-EUR,38.467950,0.0930,0,False,False,,,True,Limit,,668
DOGE-EUR,38.467950,0.0934,0,False,False,,,True,Limit,,669
DOGE-EUR,38.467950,0.0938,0,False,False,,,True,Limit,,670
DOGE-EUR,43.188064,0.0857,0,False,False,,,True,Limit,,672
DOGE-EUR,43.238994,0.0848,0,True,False,,,True,Limit,,674
DOGE-EUR,43.392505,0.0858,0,False,False,,,True,Limit,,677
DOGE-EUR,43.238994,0.0856,0,False,False,,,True,Limit,,678
DOGE-EUR,38.467950,0.0857,0,True,False,,,True,Limit,,686
DOGE-EUR,38.467950,0.0857,0,True,False,,,True,Limit,,687
DOGE-EUR,38.467950,0.0857,0,True,False,,,True,Limit,,688
DOGE-EUR,38.512889,0.0856,0,True,False,,,True,Limit,,689
DOGE-EUR,38.467950,0.0857,0,True,False,,,True,Limit,,690
DOGE-EUR,43.392505,0.0845,0,True,False,,,True,Limit,,691
DOGE-EUR,43.290043,0.0847,0,True,False,,,True,Limit,,692
DOGE-EUR,38.467950,0.0866,0,False,False,,,True,Limit,,697
DOGE-EUR,38.467950,0.0870,0,False,False,,,True,Limit,,698
DOGE-EUR,38.467950,0.0874,0,False,False,,,True,Limit,,699
DOGE-EUR,38.467950,0.0883,0,False,False,,,True,Limit,,700
DOGE-EUR,43.598890,0.0858,0,False,False,,,True,Limit,,705
